Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Feb 25 2022,10:00p,Los Angeles Clippers,105,Los Angeles Lakers,102,Box Score,,18997,Crypto.com Arena,
Sat Feb 26 2022,12:00p,Boston Celtics,113,Detroit Pistons,104,Box Score,,19122,Little Caesars Arena,
Sat Feb 26 2022,7:30p,Toronto Raptors,100,Atlanta Hawks,127,Box Score,,17870,State Farm Arena,
Sat Feb 26 2022,8:00p,Memphis Grizzlies,116,Chicago Bulls,110,Box Score,,21959,United Center,
Sat Feb 26 2022,8:00p,Washington Wizards,86,Cleveland Cavaliers,92,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Feb 26 2022,8:00p,San Antonio Spurs,129,Miami Heat,133,Box Score,,19677,FTX Arena,
Sat Feb 26 2022,8:30p,Brooklyn Nets,126,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Sat Feb 26 2022,9:00p,Sacramento Kings,110,Denver Nuggets,115,Box Score,,19520,Ball Arena,
Sun Feb 27 2022,1:00p,Philadelphia 76ers,125,New York Knicks,109,Box Score,,19812,Madison Square Garden (IV),
Sun Feb 27 2022,3:30p,Utah Jazz,118,Phoenix Suns,114,Box Score,,17071,Phoenix Suns Arena,
Sun Feb 27 2022,5:00p,Boston Celtics,107,Indiana Pacers,128,Box Score,,16872,Gainbridge Fieldhouse,
Sun Feb 27 2022,7:00p,Detroit Pistons,127,Charlotte Hornets,126,Box Score,OT,15348,Spectrum Center,
Sun Feb 27 2022,7:00p,Los Angeles Clippers,99,Houston Rockets,98,Box Score,,14324,Toyota Center,
Sun Feb 27 2022,7:30p,Dallas Mavericks,107,Golden State Warriors,101,Box Score,,18064,Chase Center,
Sun Feb 27 2022,9:00p,Denver Nuggets,124,Portland Trail Blazers,92,Box Score,,17771,Moda Center,
Sun Feb 27 2022,10:00p,New Orleans Pelicans,123,Los Angeles Lakers,95,Box Score,,17536,Crypto.com Arena,
Mon Feb 28 2022,7:00p,Minnesota Timberwolves,127,Cleveland Cavaliers,122,Box Score,,18421,Rocket Mortgage Fieldhouse,
Mon Feb 28 2022,7:00p,Indiana Pacers,103,Orlando Magic,119,Box Score,,13014,Amway Center,
Mon Feb 28 2022,7:30p,Toronto Raptors,133,Brooklyn Nets,97,Box Score,,17112,Barclays Center,
Mon Feb 28 2022,7:30p,Chicago Bulls,99,Miami Heat,112,Box Score,,19683,FTX Arena,
Mon Feb 28 2022,8:00p,San Antonio Spurs,105,Memphis Grizzlies,118,Box Score,,16812,FedEx Forum,
Mon Feb 28 2022,8:00p,Charlotte Hornets,106,Milwaukee Bucks,130,Box Score,,17341,Fiserv Forum,
Mon Feb 28 2022,8:00p,Sacramento Kings,131,Oklahoma City Thunder,110,Box Score,,13945,Paycom Center,
